unidade;ano;mes;total_de_internacoes_via_urgencia;total_de_urgencia_nao_internados
CSSI;2023,0;9,0;5,0;260,0
CSSI;2023,0;10,0;55,0;1990,0
CSSI;2023,0;11,0;60,0;2024,0
CSSI;2023,0;12,0;69,0;2051,0
CSSI;2024,0;1,0;82,0;2472,0
CSSI;2024,0;2,0;81,0;3441,0
CSSI;2024,0;3,0;95,0;3014,0
CSSI;2024,0;4,0;78,0;3049,0
CSSI;2024,0;5,0;91,0;3039,0
CSSI;2024,0;6,0;71,0;2640,0
CSSI;2024,0;7,0;65,0;2465,0
CSSI;2024,0;8,0;79,0;2488,0
CSSI;2024,0;9,0;54,0;2698,0
CSSI;2024,0;10,0;65,0;2544,0
CSSI;2024,0;11,0;71,0;2491,0
CSSI;2024,0;12,0;74,0;2409,0
CSSI;2025,0;1,0;61,0;2408,0
CSSI;2025,0;2,0;65,0;2338,0
CSSI;2025,0;3,0;70,0;2476,0
CSSI;2025,0;4,0;61,0;2597,0
CSSI;2025,0;5,0;52,0;2957,0
CSSI;2025,0;6,0;60,0;2672,0
CSSI;2025,0;7,0;63,0;2625,0
CSSI;2025,0;8,0;62,0;2793,0
CSSI;2025,0;9,0;64,0;2707,0
CSSI;2025,0;10,0;61,0;2603,0
CSSI;2025,0;11,0;51,0;2433,0
CSSI;2025,0;12,0;58,0;2580,0
CSSI;2026,0;1,0;60,0;2280,0
CSSI;2026,0;2,0;69,0;2243,0
HAC;2025,0;10,0;70,0;179,0
HAC;2025,0;11,0;125,0;285,0
HAC;2025,0;12,0;101,0;282,0
HAC;2026,0;1,0;110,0;254,0
HAC;2026,0;2,0;106,0;270,0
HJK;2026,0;2,0;93,0;705,0
HRBJA;2024,0;6,0;34,0;409,0
HRBJA;2024,0;7,0;321,0;2169,0
HRBJA;2024,0;8,0;362,0;2014,0
HRBJA;2024,0;9,0;342,0;2167,0
HRBJA;2024,0;10,0;201,0;2361,0
HRBJA;2024,0;11,0;215,0;2262,0
HRBJA;2024,0;12,0;254,0;2346,0
HRBJA;2025,0;1,0;267,0;2286,0
HRBJA;2025,0;2,0;233,0;2139,0
HRBJA;2025,0;3,0;263,0;2491,0
HRBJA;2025,0;4,0;254,0;2423,0
HRBJA;2025,0;5,0;274,0;2797,0
HRBJA;2025,0;6,0;253,0;2766,0
HRBJA;2025,0;7,0;287,0;2794,0
HRBJA;2025,0;8,0;260,0;2854,0
HRBJA;2025,0;9,0;233,0;2916,0
HRBJA;2025,0;10,0;237,0;2896,0
HRBJA;2025,0;11,0;249,0;2719,0
HRBJA;2025,0;12,0;255,0;2896,0
HRBJA;2026,0;1,0;264,0;2966,0
HRBJA;2026,0;2,0;304,0;2783,0
HRJP;2024,0;11,0;102,0;234,0
HRJP;2024,0;12,0;99,0;313,0
HRJP;2025,0;1,0;127,0;353,0
HRJP;2025,0;2,0;120,0;348,0
HRJP;2025,0;3,0;162,0;386,0
HRJP;2025,0;4,0;149,0;314,0
HRJP;2025,0;5,0;165,0;361,0
HRJP;2025,0;6,0;151,0;313,0
HRJP;2025,0;7,0;145,0;304,0
HRJP;2025,0;8,0;160,0;333,0
HRJP;2025,0;9,0;131,0;317,0
HRJP;2025,0;10,0;154,0;405,0
HRJP;2025,0;11,0;144,0;383,0
HRJP;2025,0;12,0;152,0;372,0
HRJP;2026,0;1,0;157,0;404,0
HRJP;2026,0;2,0;152,0;359,0
IRS;2023,0;8,0;86,0;273,0
IRS;2023,0;9,0;76,0;312,0
IRS;2023,0;10,0;110,0;293,0
IRS;2023,0;11,0;84,0;276,0
IRS;2023,0;12,0;79,0;271,0
IRS;2024,0;1,0;95,0;312,0
IRS;2024,0;2,0;74,0;303,0
IRS;2024,0;3,0;78,0;344,0
IRS;2024,0;4,0;80,0;299,0
IRS;2024,0;5,0;69,0;318,0
IRS;2024,0;6,0;82,0;265,0
IRS;2024,0;7,0;78,0;285,0
IRS;2024,0;8,0;73,0;229,0
IRS;2024,0;9,0;56,0;277,0
IRS;2024,0;10,0;84,0;283,0
IRS;2024,0;11,0;60,0;258,0
IRS;2024,0;12,0;53,0;257,0
IRS;2025,0;1,0;77,0;241,0
IRS;2025,0;2,0;55,0;228,0
IRS;2025,0;3,0;78,0;300,0
IRS;2025,0;4,0;79,0;278,0
IRS;2025,0;5,0;71,0;258,0
IRS;2025,0;6,0;82,0;230,0
